entry_time,ticker,direction,influence_score,net_return,pnl,relevance_score,signal_sense,signal_reason,tweet_text
2025-08-04 13:57:00,USO,LONG,0.001355,0.0912,15.21,0.2,MARGINAL,CorrelationDiscovery:+tweet_embedding_243,"Sidney Sweeney, a registered Republican, has the HOTTEST ad out there. It’s for American Eagle, and the jeans are “flying of the shelves.” Go get ‘em Sidney. On the other side of the ledger, Jaguar di"
2025-08-04 14:02:01,UUP,LONG,0.003216,-0.0267,-4.45,0.2,MARGINAL,CorrelationDiscovery:+tweet_embedding_349,"Sidney Sweeney, a registered Republican, has the HOTTEST ad out there. It’s for American Eagle, and the jeans are “flying of the shelves.” Go get ‘em Sidney. On the other side of the ledger, Jaguar di"
2025-08-04 14:19:50,USO,SHORT,-0.000327,-0.2363,-59.08,0.2,MARGINAL,CorrelationDiscovery:+tweet_embedding_243,"Sydney Sweeney, a registered Republican, has the “HOTTEST” ad out there. It’s for American Eagle, and the jeans are “flying of the shelves.” Go get ‘em Sydney! On the other side of the ledger, Jaguar "
2025-08-04 14:21:33,UUP,LONG,0.004699,-0.0085,-1.42,0.2,MARGINAL,CorrelationDiscovery:+tweet_embedding_349,"Sydney Sweeney, a registered Republican, has the “HOTTEST” ad out there. It’s for American Eagle, and the jeans are “flying of the shelves.” Go get ‘em Sydney! On the other side of the ledger, Jaguar "
2025-08-04 14:29:47,USO,SHORT,-0.004723,-0.3678,-122.54,0.2,MARGINAL,CorrelationDiscovery:+tweet_embedding_243,"In just 6 months, I cut costs, especially Energy and Taxes, Tremendously. Elizabeth “Pocahontas” Warren, on CNBC, said costs have gone up. She is just angry that I blew up her terrible Presidential Ca"
2025-08-04 14:51:01,USO,SHORT,-0.001178,-1.0915,-272.41,0.3,MARGINAL,CorrelationDiscovery:+tweet_embedding_243,"India is not only buying massive amounts of Russian Oil, they are then, for much of the Oil purchased, selling it on the Open Market for big profits. They don’t care how many people in Ukraine are bei"
2025-08-04 14:50:57,DIA,LONG,0.002574,0.0765,38.09,0.4,GOOD,CorrelationDiscovery:+tweet_embedding_251,"India is not only buying massive amounts of Russian Oil, they are then, for much of the Oil purchased, selling it on the Open Market for big profits. They don’t care how many people in Ukraine are bei"
2025-08-04 14:28:20,UUP,LONG,0.004482,0.2275,37.76,0.2,MARGINAL,CorrelationDiscovery:+tweet_embedding_349,"Sydney Sweeney, a registered Republican, has the “HOTTEST” ad out there. It’s for American Eagle, and the jeans are “flying of the shelves.” Go get ‘em Sydney! On the other side of the ledger, Jaguar "
2025-08-05 09:06:00,UUP,LONG,0.00464,-0.7652,-109.1,0.2,MARGINAL,CorrelationDiscovery:+tweet_embedding_349,"Sydney Sweeney, a registered Republican, has the “HOTTEST” ad out there. It’s for American Eagle, and the jeans are “flying of the shelves.” Go get ‘em Sydney! On the other side of the ledger, Jaguar "
2025-08-06 13:38:23,UUP,SHORT,-0.005927,0.1291,42.82,0.2,MARGINAL,CorrelationDiscovery:+tweet_embedding_349,"Politically embattled Senator, Cryin’ Chuck Schumer, wants the Republicans to pay, as EXTORTION, TWO BILLION DOLLARS in order for the Radical Left Democrats to approve the hundreds of Trump Appointmen"
2025-08-05 09:04:23,SPY,LONG,0.000322,0.2348,77.91,0.4,GOOD,CorrelationDiscovery:-tweet_embedding_93,"Good day in the Stock Market (Dow + 585.06, 1.34%, S P 500 + 91.93, 1.47%, NASDAQ + 403.45, 1.95%), but there will be many more days like this. America is very rich again, and stronger than ever befor"
2025-08-07 10:38:27,UUP,SHORT,-0.005927,-0.2362,-26.01,0.2,MARGINAL,CorrelationDiscovery:+tweet_embedding_349,"Politically embattled Senator, Cryin’ Chuck Schumer, wants the Republicans to pay, as EXTORTION, TWO BILLION DOLLARS in order for the Radical Left Democrats to approve the hundreds of Trump Appointmen"
2025-08-08 04:00:00,SPY,SHORT,-0.007025,0.0026,0.65,0.3,MARGINAL,CorrelationDiscovery:-tweet_embedding_93,"The reason that The Wall Street Journal Editorial Board is always negative on “TRUMP,” and the Hundreds of Billions of Dollars we’re bringing into our Country through Tariffs, numbers that the U.S.A. "
2025-08-07 19:46:12,TLT,SHORT,-0.02648,-0.2662,-44.2,0.2,MARGINAL,CorrelationDiscovery:+tweet_embedding_109,"It is my Great Honor to announce that I have chosen Dr. Stephen Miran, current Chairman of the Council of Economic Advisors, to serve in the just vacated seat on the Federal Reserve Board until Januar"
2025-08-08 04:02:45,IEF,SHORT,-0.028252,-0.1731,-28.72,0.2,MARGINAL,CorrelationDiscovery:-tweet_embedding_263,"It is my Great Honor to announce that I have chosen Dr. Stephen Miran, current Chairman of the Council of Economic Advisors, to serve in the just vacated seat on the Federal Reserve Board until Januar"
2025-08-08 04:26:21,UUP,SHORT,-0.005522,0.033,8.21,0.3,MARGINAL,CorrelationDiscovery:+tweet_embedding_349,"The reason that The Wall Street Journal Editorial Board is always negative on “TRUMP,” and the Hundreds of Billions of Dollars we’re bringing into our Country through Tariffs, numbers that the U.S.A. "
2025-08-08 04:11:12,SHY,SHORT,-0.017454,-0.0206,-3.42,0.2,MARGINAL,CorrelationDiscovery:-tweet_embedding_108,"It is my Great Honor to announce that I have chosen Dr. Stephen Miran, current Chairman of the Council of Economic Advisors, to serve in the just vacated seat on the Federal Reserve Board until Januar"
2025-08-08 09:04:25,SPY,SHORT,-0.007025,0.5429,90.07,0.3,MARGINAL,CorrelationDiscovery:-tweet_embedding_93,"The reason that The Wall Street Journal Editorial Board is always negative on “TRUMP,” and the Hundreds of Billions of Dollars we’re bringing into our Country through Tariffs, numbers that the U.S.A. "
2025-08-05 09:05:51,DIA,LONG,0.002574,0.1523,25.29,0.4,GOOD,CorrelationDiscovery:+tweet_embedding_251,"India is not only buying massive amounts of Russian Oil, they are then, for much of the Oil purchased, selling it on the Open Market for big profits. They don’t care how many people in Ukraine are bei"
2025-08-08 09:30:00,UUP,SHORT,-0.005522,-0.0653,-4.32,0.3,MARGINAL,CorrelationDiscovery:+tweet_embedding_349,"The reason that The Wall Street Journal Editorial Board is always negative on “TRUMP,” and the Hundreds of Billions of Dollars we’re bringing into our Country through Tariffs, numbers that the U.S.A. "
2025-08-08 14:33:58,SPY,SHORT,-0.000811,-0.0816,-27.1,0.3,MARGINAL,CorrelationDiscovery:-tweet_embedding_93,"Tariffs are having a huge positive impact on the Stock Market. Almost every day, new records are set. In addition, Hundreds of Billions of Dollars are pouring into our Country’s coffers. If a Radical "
